time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_loss,train/n_updates,resources/cpu_percent,resources/memory_mb,rollout/ep_len_mean,rollout/ep_rew_mean
32768,3031,1,10,,,,,,,,,,
65536,3022,2,21,5e-05,-0.011690139770507812,-1.0986006259918213,20.516826629638672,-0.7327247858047485,1,,,,
98304,2732,3,35,5e-05,-0.2143803834915161,-1.0983521938323975,1.6816058158874512,0.007253288757055998,2,3.6,9129.66796875,,
131072,2478,4,52,5e-05,-16.098997116088867,-1.0981378555297852,0.29574793577194214,0.07161179184913635,3,,,,
163840,2338,5,70,5e-05,-7.758393287658691,-1.0980116128921509,0.2882157564163208,0.04873940348625183,4,1.8,10281.125,,
196608,2196,6,89,5e-05,-8.074092864990234,-1.098231554031372,0.2652837932109833,0.02537352778017521,5,,,,
229376,2046,7,112,5e-05,-15.649635314941406,-1.0981330871582031,0.23744246363639832,0.024606987833976746,6,,,,
262144,1903,8,137,5e-05,-15.053686141967773,-1.0981521606445312,0.22661980986595154,0.017651740461587906,7,2.1,10617.5,,
294912,1749,9,168,5e-05,-13.366803169250488,-1.0979084968566895,0.21285904943943024,0.005113329738378525,8,,,,
327680,1665,10,196,5e-05,-12.736392974853516,-1.0980644226074219,0.2038220763206482,0.002696861047297716,9,8.3,11296.8359375,20000.0,-100.0
360448,1739,11,207,5e-05,-0.06048130989074707,-1.0978784561157227,2.80596923828125,-0.1618008315563202,10,,,20000.0,-100.0
393216,1798,12,218,5e-05,-0.020656824111938477,-1.0974891185760498,10.91573715209961,-0.5619479417800903,11,,,20000.0,-100.0
425984,1833,13,232,5e-05,-0.19857096672058105,-1.0970470905303955,1.2730903625488281,0.028917254880070686,12,2.1,7000.1015625,20000.0,-100.0
458752,1855,14,247,5e-05,-1.3321757316589355,-1.0969822406768799,0.3916637897491455,0.09607270359992981,13,,,20000.0,-100.0
491520,1855,15,264,5e-05,-17.521530151367188,-1.0968737602233887,0.23756590485572815,0.0862562358379364,14,15.8,7200.93359375,20000.0,-100.0
524288,1841,16,284,5e-05,-18.347787857055664,-1.0970396995544434,0.2233734428882599,0.06766310334205627,15,,,20000.0,-100.0
557056,1808,17,307,5e-05,-18.393644332885742,-1.096972107887268,0.21471333503723145,0.04696838930249214,16,,,20000.0,-100.0
589824,1766,18,333,5e-05,-20.35048484802246,-1.0969090461730957,0.20727911591529846,0.03892239183187485,17,6.2,7469.23828125,20000.0,-100.0
622592,1716,19,362,5e-05,-18.370878219604492,-1.096951961517334,0.19932779669761658,0.028514446690678596,18,,,20000.0,-100.0
655360,1707,20,383,5e-05,-19.54921531677246,-1.0972092151641846,0.2007867842912674,0.022962776944041252,19,4.2,7607.6640625,20000.0,-100.0
688128,1747,21,393,5e-05,-0.01770305633544922,-1.0972741842269897,10.351729393005371,-0.4162372350692749,20,,,20000.0,-100.0
720896,1778,22,405,5e-05,-0.019526362419128418,-1.0959340333938599,7.991061210632324,-0.36856701970100403,21,3.6,7659.1015625,20000.0,-100.0
753664,1799,23,418,5e-05,-0.45624303817749023,-1.0955500602722168,0.5241026878356934,0.021402230486273766,22,,,20000.0,-100.0
786432,1812,24,434,5e-05,-27.87657928466797,-1.0951850414276123,0.16439513862133026,0.06620214879512787,23,,,20000.0,-100.0
819200,1809,25,452,5e-05,-25.02280616760254,-1.0951087474822998,0.15734630823135376,0.0486658439040184,24,12.5,7806.234375,20000.0,-100.0
851968,1798,26,473,5e-05,-24.77867889404297,-1.09511399269104,0.15224477648735046,0.04006984829902649,25,,,20000.0,-100.0
884736,1777,27,497,5e-05,-21.195674896240234,-1.0950932502746582,0.14695170521736145,0.02542107179760933,26,0.0,7455.078125,20000.0,-100.0
917504,1747,28,524,5e-05,-19.235450744628906,-1.0949463844299316,0.1445939838886261,0.015970150008797646,27,,,20000.0,-100.0
950272,1699,29,559,5e-05,-17.223115921020508,-1.0950003862380981,0.14390191435813904,0.01127522811293602,28,,,20000.0,-100.0
983040,1704,30,576,5e-05,-19.818321228027344,-1.0950943231582642,0.14332512021064758,0.014686022885143757,29,2.1,7968.31640625,20000.0,-100.0
1015808,1726,31,588,5e-05,-0.0055713653564453125,-1.095649003982544,16.342073440551758,-0.6657043695449829,30,,,20000.0,-100.0
1048576,1743,32,601,5e-05,-0.05343461036682129,-1.095482349395752,2.84765625,-0.13403886556625366,31,36.0,8354.2734375,20000.0,-100.0
1081344,1758,33,614,5e-05,-0.6136285066604614,-1.094665765762329,0.35897377133369446,0.04452086612582207,32,,,20000.0,-100.0
1114112,1766,34,630,5e-05,-5.737546920776367,-1.09388267993927,0.15878094732761383,0.05077662318944931,33,,,20000.0,-100.0
1146880,1767,35,648,5e-05,-25.193716049194336,-1.0941283702850342,0.13910800218582153,0.04352600872516632,34,8.3,8164.3828125,20000.0,-100.0
1179648,1760,36,670,5e-05,-25.420011520385742,-1.0939397811889648,0.13560514152050018,0.03365284204483032,35,,,20000.0,-100.0
1212416,1746,37,694,5e-05,-24.183256149291992,-1.0938475131988525,0.13448695838451385,0.024098819121718407,36,12.2,8234.09375,20000.0,-100.0
1245184,1727,38,720,5e-05,-23.646575927734375,-1.0938937664031982,0.12845861911773682,0.021139414981007576,37,,,20000.0,-100.0
1277952,1702,39,750,5e-05,-18.785619735717773,-1.0940024852752686,0.1292252242565155,0.012270389124751091,38,,,20000.0,-100.0
1310720,1722,40,761,5e-05,-23.560874938964844,-1.0943399667739868,0.12251599133014679,0.011042775586247444,39,0.0,8127.171875,20000.0,-100.0
1343488,1741,41,771,5e-05,-0.009501814842224121,-1.094132661819458,13.763277053833008,-0.675542950630188,40,,,20000.0,-100.0
1376256,1752,42,785,5e-05,-0.06587529182434082,-1.0937390327453613,1.9199247360229492,-0.1279212087392807,41,1.8,8351.0703125,20000.0,-100.0
1409024,1762,43,799,5e-05,-1.353994369506836,-1.0938678979873657,0.2087029218673706,0.011317899450659752,42,,,20000.0,-100.0
1441792,1764,44,816,5e-05,-2.4659979343414307,-1.0938692092895508,0.16457144916057587,0.026386475190520287,43,5.3,6942.2421875,20000.0,-100.0
