time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/entropy_loss,train/policy_loss,train/n_updates,train/learning_rate,train/explained_variance,resources/memory_mb,resources/cpu_percent,rollout/ep_rew_mean,rollout/ep_len_mean
32768,3028,1,10,,,,,,,,,,
65536,2919,2,22,152178.1875,-1.098596453666687,-68.55878448486328,1,5e-05,-2.7060508728027344e-05,,,,
98304,2761,3,35,12079.689453125,-1.0983505249023438,-13.217864990234375,2,5e-05,-6.198883056640625e-05,9381.0625,1.8,,
131072,2558,4,51,5086.3720703125,-1.0983030796051025,-7.1690778732299805,3,5e-05,-0.0001461505889892578,,,,
163840,2323,5,70,0.3969208598136902,-1.0982565879821777,0.13167740404605865,4,5e-05,-22.080781936645508,10216.34375,80.7,,
196608,2136,6,92,0.38033583760261536,-1.0983093976974487,0.0869133397936821,5,5e-05,-34.75623321533203,,,,
229376,1988,7,115,0.349831223487854,-1.098147988319397,0.06945411115884781,6,5e-05,-39.570648193359375,,,,
262144,1852,8,141,0.3290189504623413,-1.098069190979004,0.05723346769809723,7,5e-05,-42.65676498413086,10486.8828125,0.0,,
294912,1729,9,170,0.3124457895755768,-1.0981874465942383,0.04705633223056793,8,5e-05,-38.26241683959961,,,,
327680,1665,10,196,0.2999419569969177,-1.0981945991516113,0.027988146990537643,9,5e-05,-38.032814025878906,10664.7734375,0.0,-10000.0,20000.0
360448,1741,11,206,51421.8125,-1.0980381965637207,-21.267770767211914,10,5e-05,1.9729137420654297e-05,,,-10000.0,20000.0
393216,1797,12,218,113459.03125,-1.0979955196380615,-56.940223693847656,11,5e-05,-2.3484230041503906e-05,,,-10000.0,20000.0
425984,1822,13,233,4702.322265625,-1.0978765487670898,-7.5992512702941895,12,5e-05,-2.09808349609375e-05,10560.01953125,20.8,-10000.0,20000.0
458752,1837,14,249,897.3242797851562,-1.0977798700332642,-1.8529090881347656,13,5e-05,-4.6372413635253906e-05,,,-10000.0,20000.0
491520,1837,15,267,2.4111955165863037,-1.0976362228393555,-0.1882636696100235,14,5e-05,-0.09882330894470215,7036.578125,2.1,-10000.0,20000.0
524288,1812,16,289,72.97655487060547,-1.0972881317138672,-0.30353832244873047,15,5e-05,-0.0019549131393432617,,,-10000.0,20000.0
557056,1774,17,313,0.2752930819988251,-1.0963547229766846,0.1279483586549759,16,5e-05,-12.206705093383789,,,-10000.0,20000.0
589824,1724,18,342,0.2563251554965973,-1.0963389873504639,0.09788298606872559,17,5e-05,-16.639095306396484,7642.45703125,14.0,-10000.0,20000.0
622592,1671,19,372,0.250106543302536,-1.0963956117630005,0.07144278287887573,18,5e-05,-23.45631980895996,,,-10000.0,20000.0
655360,1660,20,394,0.24040554463863373,-1.0963127613067627,0.051671743392944336,19,5e-05,-25.182157516479492,7614.1484375,30.0,-10000.0,20000.0
688128,1697,21,405,122222.3125,-1.0962846279144287,-47.37466812133789,20,5e-05,-1.9311904907226562e-05,,,-10000.0,20000.0
720896,1725,22,417,50402.765625,-1.0959821939468384,-32.83060836791992,21,5e-05,-2.8133392333984375e-05,7806.921875,7.1,-10000.0,20000.0
753664,1745,23,431,1615.6182861328125,-1.0958409309387207,-3.0977702140808105,22,5e-05,-1.704692840576172e-05,,,-10000.0,20000.0
786432,1753,24,448,690.8515625,-1.0965266227722168,-1.1264560222625732,23,5e-05,0.0003840327262878418,,,-10000.0,20000.0
819200,1745,25,469,0.25687628984451294,-1.095523715019226,0.16952303051948547,24,5e-05,-9.122581481933594,7782.90234375,0.0,-10000.0,20000.0
851968,1729,26,492,0.2486972063779831,-1.095436930656433,0.14571727812290192,25,5e-05,-11.798928260803223,,,-10000.0,20000.0
884736,1710,27,517,0.23724038898944855,-1.095447301864624,0.13240545988082886,26,5e-05,-16.125511169433594,7883.28515625,1.8,-10000.0,20000.0
917504,1682,28,545,0.2319795936346054,-1.0954887866973877,0.11399051547050476,27,5e-05,-18.10805320739746,,,-10000.0,20000.0
950272,1650,29,575,0.22269462049007416,-1.0955500602722168,0.09515362977981567,28,5e-05,-17.72136116027832,,,-10000.0,20000.0
983040,1657,30,592,0.21965572237968445,-1.0956426858901978,0.08362679928541183,29,5e-05,-17.07999038696289,7148.5625,4.2,-10000.0,20000.0
1015808,1676,31,606,122788.390625,-1.0957090854644775,-58.27912139892578,30,5e-05,-4.410743713378906e-06,,,-10000.0,20000.0
1048576,1690,32,620,44108.546875,-1.0954374074935913,-27.445938110351562,31,5e-05,-7.712841033935547e-05,7633.51171875,25.0,-10000.0,20000.0
1081344,1696,33,637,5061.9111328125,-1.0950533151626587,-3.810438632965088,32,5e-05,6.139278411865234e-05,,,-10000.0,20000.0
