time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/explained_variance,train/entropy_loss,train/n_updates,train/policy_loss,train/value_loss,resources/memory_mb,resources/cpu_percent,rollout/ep_rew_mean,rollout/ep_len_mean
1,2760,11,32768,,,,,,,,,,
2,2580,25,65536,0.0001,-3.62396240234375e-05,-1.0985996723175049,1,-8.476358413696289,2049.13916015625,,,,
3,2554,38,98304,0.0001,-0.004555106163024902,-1.0980572700500488,2,-0.437334805727005,74.66871643066406,10225.28515625,19.3,,
4,2501,52,131072,0.0001,-3.2968382835388184,-1.0978939533233643,3,0.18876215815544128,0.3107190728187561,,,,
5,2384,68,163840,0.0001,-32.04573059082031,-1.0975041389465332,4,0.034506820142269135,0.24670645594596863,10285.9140625,10.2,,
6,2229,88,196608,0.0001,-38.432342529296875,-1.097208857536316,5,0.01310189813375473,0.21780934929847717,,,,
7,2093,109,229376,0.0001,-40.476131439208984,-1.097188949584961,6,0.011569136753678322,0.19926393032073975,,,,
8,1956,133,262144,0.0001,-39.617431640625,-1.097655177116394,7,0.019265811890363693,0.1753411740064621,10464.8359375,8.3,,
9,1831,161,294912,0.0001,-33.99067687988281,-1.0972472429275513,8,0.01224619522690773,0.1692039668560028,,,,
10,1762,185,327680,0.0001,-31.146625518798828,-1.0969696044921875,9,0.009616146795451641,0.15813443064689636,10754.25390625,2.1,-1000.0,20000.0
11,1848,194,360448,0.0001,-0.00011074542999267578,-1.0967940092086792,10,-3.062411308288574,936.7974853515625,,,-1000.0,20000.0
12,1909,205,393216,0.0001,-6.377696990966797e-05,-1.0951542854309082,11,-4.487882137298584,783.7760009765625,,,-1000.0,20000.0
13,1950,218,425984,0.0001,0.0005601048469543457,-1.091766595840454,12,-0.7428029775619507,97.26136779785156,10742.16015625,2.1,-1000.0,20000.0
14,1958,234,458752,0.0001,0.001344442367553711,-1.0914154052734375,13,-0.07307800650596619,21.083377838134766,,,-1000.0,20000.0
15,1938,253,491520,0.0001,0.03867727518081665,-1.0876232385635376,14,0.1813129186630249,2.468308687210083,6612.66796875,1.8,-1000.0,20000.0
16,1907,274,524288,0.0001,-0.3143655061721802,-1.0884082317352295,15,0.1776529848575592,0.17159032821655273,,,-1000.0,20000.0
