time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/n_updates,train/approx_kl,train/loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,resources/cpu_percent,resources/memory_mb,rollout/ep_len_mean,rollout/ep_rew_mean
10,32768,1,3217,,,,,,,,,,,,,,
22,65536,2,2881,-1.0936195068061352,10,0.008574677,468.42529296875,1679.479780960083,0.0001,0.0181884765625,-0.0020548247135593555,0.2,-0.00039708614349365234,,,,
37,98304,3,2633,-1.0754287205636501,20,0.0071146186,95.6551742553711,133.6899710893631,0.0001,0.019708251953125,-0.0020686572039267047,0.2,0.00015407800674438477,8.9,10543.8203125,,
53,131072,4,2430,-1.0806816890835762,30,0.0049526487,0.12376832962036133,0.4453940611332655,0.0001,0.0081298828125,-0.0018067600540234707,0.2,-2.2683112621307373,,,,
72,163840,5,2259,-1.0796514220535756,40,0.0036778694,0.056105561554431915,0.22168248100206256,0.0001,0.0057586669921875,-0.001993274161941372,0.2,-2.3998796939849854,6.2,11280.8515625,,
94,196608,6,2089,-1.0819176018238068,50,0.0036388854,0.03248409554362297,0.12883512433618308,0.0001,0.0114959716796875,-0.002101451114140218,0.2,-2.2353098392486572,,,,
119,229376,7,1922,-1.0818964675068856,60,0.0046381336,0.007374314591288567,0.07703629250172525,0.0001,0.02166748046875,-0.0026647480350220575,0.2,-2.6398119926452637,,,,
149,262144,8,1750,-1.0825353845953942,70,0.004127404,0.0028159432113170624,0.053088598093017934,0.0001,0.013232421875,-0.002670560068509076,0.2,-5.555747032165527,19.6,11511.97265625,,
186,294912,9,1578,-1.080232260376215,80,0.0045104353,0.0018887445330619812,0.04218996767885983,0.0001,0.0212799072265625,-0.002639003883814439,0.2,-5.631073951721191,,,,
218,327680,10,1498,-1.0791110463440419,90,0.0045866086,-0.0035812202841043472,0.0344412972452119,0.0001,0.0313385009765625,-0.0024064395947789308,0.2,-9.298575401306152,23.2,7786.87109375,20000.0,-1000.0
229,360448,11,1567,-1.082482275366783,100,0.0018883707,673.73779296875,1468.5262221336366,0.0001,0.0013519287109375,-0.00040688774170121177,0.2,3.5822391510009766e-05,,,20000.0,-1000.0
242,393216,12,1620,-1.0831280775368213,110,0.0012795913,503.43438720703125,791.8328053474427,0.0001,8.85009765625e-05,-0.00025005453935591506,0.2,0.0003057718276977539,,,20000.0,-1000.0
